Date,Open,High,Low,Close,Adj Close,Volume
2010-01-25,54.860001,54.980000,52.330002,52.480000,39.309353,124593800
2010-02-01,53.200001,54.459999,49.939999,51.480000,38.560314,138318200
2010-02-08,50.970001,52.520000,50.450001,51.750000,38.762550,111944500
2010-02-15,51.990002,53.349998,51.810001,52.939999,39.653912,69091400
2010-02-22,53.230000,53.310001,51.470001,52.619999,39.414207,86509300
2010-03-01,52.740002,55.060001,52.599998,54.980000,41.181942,75504400
2010-03-08,55.060001,55.750000,54.450001,55.660000,41.691284,65092300
2010-03-15,55.200001,56.509998,54.849998,55.369999,41.474052,77020400
2010-03-22,54.639999,56.009998,54.599998,55.509998,41.578922,93340000
2010-03-29,55.779999,56.990002,55.639999,56.970001,42.672516,73570200
2010-04-05,56.939999,57.220001,55.740002,57.150002,42.807335,80018400
2010-04-12,57.340000,58.090000,56.430000,56.720001,42.485264,85725300
2010-04-19,56.080002,57.080002,55.320000,56.459999,42.290504,89672500
2010-04-26,56.619999,56.750000,53.680000,54.410000,40.754982,138487900
2010-05-03,54.509998,54.990002,47.259998,49.209999,36.860008,236475700
2010-05-10,52.450001,52.849998,49.549999,49.990002,37.444256,203472500
2010-05-17,50.169998,50.630001,46.910000,48.619999,36.418072,215922800
2010-05-24,47.939999,49.299999,45.849998,48.320000,36.193363,195045800
2010-05-31,47.889999,49.459999,46.650002,46.880001,35.114754,123794700
2010-06-07,47.070000,48.930000,46.130001,48.910000,36.635288,141656300
2010-06-14,49.630001,50.849998,49.130001,50.610001,37.908661,123213800
2010-06-21,51.389999,51.490002,48.169998,48.849998,36.590343,142466800
2010-06-28,48.750000,49.110001,46.450001,47.090000,35.889126,171820400
2010-07-05,48.430000,50.080002,47.709999,50.060001,38.152676,107833700
2010-07-12,49.650002,51.310001,49.509998,49.580002,37.786850,108409700
2010-07-19,49.990002,51.599998,49.119999,51.590000,39.318748,103002700
2010-07-26,51.310001,52.810001,51.189999,51.910000,39.562626,124512900
2010-08-02,53.090000,53.799999,52.959999,53.750000,40.964966,85768600
2010-08-09,53.889999,53.950001,50.500000,50.709999,38.648060,115257900
2010-08-16,50.720001,52.020000,50.000000,50.310001,38.343212,81609300
2010-08-23,50.560001,50.889999,48.820000,50.520000,38.503254,86659800
2010-08-30,50.189999,52.650002,49.540001,52.490002,40.004669,97764300
2010-09-06,52.099998,53.000000,51.730000,52.810001,40.248550,55770300
2010-09-13,53.540001,54.340000,53.330002,53.630001,40.873508,101015600
2010-09-20,53.910000,55.480000,53.759998,55.380001,42.207249,104462200
2010-09-27,55.360001,55.810001,54.630001,55.470001,42.275841,108792500
2010-10-04,54.990002,57.119999,54.459999,56.869999,43.342831,103052200
2010-10-11,56.970001,57.930000,55.950001,57.529999,43.845844,75828300
2010-10-18,57.419998,57.910000,56.110001,57.290001,43.662933,75657400
2010-10-25,57.889999,58.099998,56.070000,57.009998,43.449532,73833000
2010-11-01,57.099998,59.509998,56.500000,59.200001,45.118622,85710200
2010-11-08,58.740002,59.349998,57.130001,57.439999,43.777260,88824700
2010-11-15,57.830002,57.930000,55.799999,57.770000,44.028767,111382100
2010-11-22,57.099998,57.400002,55.270000,55.369999,42.199623,78162900
2010-11-29,54.770000,57.459999,53.849998,57.410000,43.754391,114123800
2010-12-06,56.900002,57.980000,56.810001,57.630001,43.922070,82013200
2010-12-13,58.090000,58.709999,57.259998,57.570000,43.876335,82786600
2010-12-20,57.849998,57.860001,57.450001,57.720001,43.990658,50450900
2010-12-27,57.380001,58.619999,57.279999,58.220001,44.789345,64131800
2011-01-03,58.610001,58.980000,57.070000,57.369999,44.135426,83806800
2011-01-10,56.970001,59.509998,56.720001,59.450001,45.735596,86478000
2011-01-17,59.709999,60.070000,58.439999,59.240002,45.574043,62535100
2011-01-24,59.139999,60.410000,58.810001,58.930000,45.335552,77395200
2011-01-31,59.410000,60.970001,59.270000,60.790001,46.766468,87831000
2011-02-07,60.660000,61.400002,60.180000,60.830002,46.797249,70319100
2011-02-14,60.700001,61.980000,60.630001,61.919998,47.635799,65108900
2011-02-21,60.630001,61.090000,59.799999,61.000000,46.928032,76109700
2011-02-28,61.619999,61.810001,60.650002,61.230000,47.104973,92340300
2011-03-07,61.490002,61.630001,58.840000,59.340000,45.650970,85644300
2011-03-14,57.869999,58.330002,54.099998,57.919998,44.558552,190729100
2011-03-21,58.970001,60.040001,58.590000,59.380001,45.681755,85415500
2011-03-28,59.549999,60.730000,58.980000,60.650002,46.658779,76765900
2011-04-04,60.820000,61.590000,60.160000,61.279999,47.143436,76648700
2011-04-11,61.439999,61.610001,60.410000,60.950001,46.889568,69123700
2011-04-18,59.610001,62.169998,59.029999,62.070000,47.751194,61820600
2011-04-25,62.139999,64.070000,61.830002,63.459999,48.820538,76534300
2011-05-02,64.129997,64.349998,61.259998,61.599998,47.389618,101549400
2011-05-09,61.619999,62.660000,60.279999,60.610001,46.628002,109149900
2011-05-16,60.450001,61.419998,59.900002,60.480000,46.527992,79925900
2011-05-23,59.080002,60.990002,58.820000,60.799999,46.774174,89348700
2011-05-30,61.810001,62.060001,60.240002,60.930000,46.874184,99571900
2011-06-06,60.779999,61.139999,58.950001,59.130001,45.489422,97646000
2011-06-13,59.349998,60.439999,57.590000,58.660000,45.127838,113034500
2011-06-20,58.240002,59.889999,56.700001,57.099998,43.927719,95985900
2011-06-27,57.060001,60.860001,56.939999,60.799999,47.683067,114454000
2011-07-04,60.540001,60.720001,59.500000,59.830002,46.922333,63476800
2011-07-11,58.509998,59.080002,57.560001,58.180000,45.628296,109535500
2011-07-18,57.439999,60.250000,56.849998,60.180000,47.196823,98645500
2011-07-25,59.799999,60.369999,58.220001,58.709999,46.043957,105742900
2011-08-01,59.369999,59.400002,51.779999,53.740002,42.146183,189586100
2011-08-08,51.720001,53.310001,49.630001,52.900002,41.487404,214871100
2011-08-15,53.540001,54.299999,50.099998,50.169998,39.346367,126885100
2011-08-22,51.720001,52.450001,50.160000,51.689999,40.538448,111479700
2011-08-29,52.439999,53.900002,51.619999,51.730000,40.569817,108613700
2011-09-05,49.299999,51.529999,48.540001,48.750000,38.232723,86252700
2011-09-12,47.759998,51.130001,47.410000,50.900002,39.918888,140223500
2011-09-19,49.209999,50.240002,46.080002,47.189999,37.009277,213897600
2011-09-26,47.500000,50.160000,46.799999,47.779999,37.471989,151416500
2011-10-03,47.310001,49.830002,45.450001,48.980000,38.413097,165799200
2011-10-10,50.150002,52.209999,50.090000,52.119999,40.875671,118900800
2011-10-17,51.720001,52.110001,50.060001,52.080002,40.844307,105952600
2011-10-24,52.060001,55.869999,51.610001,55.250000,43.330414,129800700
2011-10-31,53.639999,53.680000,50.150002,51.799999,40.624714,135515800
2011-11-07,51.740002,52.799999,49.830002,51.799999,40.624714,116697500
2011-11-14,51.189999,51.330002,49.029999,49.400002,38.742493,111709600
